from,to,relationship,weight,year_beginning,year_end
jima,chma,1,1,99,99
joba,chma,1,1,1970,99
jogo,chwa,1,1,99,99
joha,brda,2,2,1967,1969
joha,cagi,2,2,1967,1969
joha,chma,2,2,1967,1969
joha,maco,2,2,1967,1969
joha,MF,99,99,1967,1969
joha,suba,2,2,1967,1969
joho,chma,99,99,1971,1971
joho,suat,99,99,1971,1971
jopu,sago,5,2,1965,1968
josv,chwa,4,3,1979,99
jota,chwa,1,1,99,99
jowi,chma,2,2,99,99
juco,chma,1,1,99,99
jufl,MF,99,99,1968,1969
kama,chma,3,3,1942,99
kama,chma,4,3,1934,99
kama,cosc,5,2,1933,1934
kama,wima,5,2,1934,99
kebe,MF,99,99,99,99
laba,chma,2,2,99,99
lacr,MF,99,99,99,99
lash,MF,99,99,99,99
lela,chwa,6,1,1969,1969
lela,frst,4,3,1954,1969
lela,rola,5,3,1954,1969
lest,chma,5,3,1959,1963
leva,cash,2,2,99,99
leva,chma,2,1,1968,99
leva,chwa,2,3,1968,99
leva,daka,1,1,1970,1971
leva,lela,6,1,1969,1969
leva,lika,2,1,1969,1970
leva,lika,3,1,1970,1971
leva,MF,99,99,1968,99
leva,robe,5,3,1968,99
leva,rola,6,1,1969,99
leva,thno,1,1,1969,1971
leva,dila,2,2,1968,1969
lika,abfo,6,2,1969,1969
lika,cash,2,2,99,99
lika,chma,2,3,1969,1970
lika,chma,3,3,1970,1971
lika,chwa,2,1,1969,1970
lika,chwa,3,1,1970,1971
lika,daka,1,1,1970,1971
lika,jase,6,2,1969,1969
lika,leva,2,1,1969,1970
lika,leva,3,1,1970,1971
lika,MF,99,99,1969,1970
lika,pakr,2,1,1969,1970
lika,pakr,3,1,1970,1971
lika,roka,5,2,1968,1969
lika,shta,6,2,1969,1969
lika,stpa,6,2,1969,1969
lika,suat,2,1,1969,1970
lika,suat,3,1,1970,1971
lika,thno,1,1,1969,1971
lika,wofr,6,2,1969,1969
luel,becr,1,1,1969,1969
luel,chma,1,1,1968,1969
luel,chwa,5,3,1968,1969
lyfr,chma,2,3,1967,99
lyfr,dosh,6,1,1969,1969
lyfr,gefo,7,1,1975,1975
lyfr,MF,99,99,99,99
lyfr,rohe,1,2,1969,1970
maal,mimo,2,2,1973,99
maal,suat,2,1,99,99
maal,wigo,5,3,1973,1978
maal,MF,99,99,99,99
maar,MF,99,99,99,99
mabr,chma,5,3,1967,1977
mabr,chwa,5,2,1969,1969
mabr,gahi,6,1,1969,1969
mabr,MF,99,99,1967,1977
mabr,vama,4,3,1968,99
mabr,rumo,2,2,1966,1966
maco,joha,2,2,1967,1969
maco,MF,99,99,99,1969
maco,cagi,2,2,99,1969
maco,brda,2,2,99,1969
maco,suba,2,2,99,1969
maco,biva,2,2,99,99
maka,waev,2,2,99,99
